Time	Node	Type	Packets	
4	Rtr10	CacheHits	0
4	Rtr10	CacheMisses	0
4	Rtr11	CacheHits	0
4	Rtr11	CacheMisses	0
4	BTR1	CacheHits	0
4	BTR1	CacheMisses	1164
4	BTR2	CacheHits	0
4	BTR2	CacheMisses	1325
4	BTR3	CacheHits	0
4	BTR3	CacheMisses	1718
4	BTR32	CacheHits	0
4	BTR32	CacheMisses	1601
4	BTR4	CacheHits	0
4	BTR4	CacheMisses	1564
4	BTR42	CacheHits	0
4	BTR42	CacheMisses	1643
4	BTP1	CacheHits	0
4	BTP1	CacheMisses	5912
4	BTP2	CacheHits	0
4	BTP2	CacheMisses	5573
4	BTP3	CacheHits	0
4	BTP3	CacheMisses	6725
4	BTP4	CacheHits	0
4	BTP4	CacheMisses	4984
4	BTP32	CacheHits	0
4	BTP32	CacheMisses	7740
4	BTP42	CacheHits	0
4	BTP42	CacheMisses	5427
4	Cons1	CacheHits	0
4	Cons1	CacheMisses	1254
4	Cons2	CacheHits	0
4	Cons2	CacheMisses	1454
4	Prod11	CacheHits	0
4	Prod11	CacheMisses	2293
4	Prod12	CacheHits	0
4	Prod12	CacheMisses	1387
4	Prod21	CacheHits	0
4	Prod21	CacheMisses	399
4	Prod22	CacheHits	0
4	Prod22	CacheMisses	3605
5	Rtr1	CacheHits	2567
5	Rtr1	CacheMisses	1752
5	Rtr2	CacheHits	1244
5	Rtr2	CacheMisses	3315
5	Rtr3	CacheHits	1547
5	Rtr3	CacheMisses	2944
5	Rtr4	CacheHits	1258
5	Rtr4	CacheMisses	6201
5	Rtr5	CacheHits	1865
5	Rtr5	CacheMisses	2967
5	Rtr6	CacheHits	1568
5	Rtr6	CacheMisses	4651
5	Rtr7	CacheHits	1125
5	Rtr7	CacheMisses	4228
5	Rtr8	CacheHits	1280
5	Rtr8	CacheMisses	3222
5	Rtr9	CacheHits	1870
5	Rtr9	CacheMisses	4499
5	Rtr10	CacheHits	0
5	Rtr10	CacheMisses	0
5	Rtr11	CacheHits	0
5	Rtr11	CacheMisses	0
5	BTR1	CacheHits	0
5	BTR1	CacheMisses	1152
5	BTR2	CacheHits	0
5	BTR2	CacheMisses	1343
5	BTR3	CacheHits	0
5	BTR3	CacheMisses	1215
5	BTR32	CacheHits	0
5	BTR32	CacheMisses	1370
